time,iso,symbol,action,price,amount_thb,amount_crypto,fee,pnl,reason
1775269728,2026-04-04T09:28:48,BTC_THB,buy,1390265.92,10000.00,0.00717489,25.0000,0.00,"rsi=buy, bb=buy, macd=sell, ma=buy"
1775276928,2026-04-04T11:28:48,BTC_THB,sell,1335354.69,9581.02,0.00717489,23.9525,-442.93,stop-loss
1775276928,2026-04-04T11:28:48,BTC_THB,buy,1335354.69,9955.71,0.00743684,24.8893,0.00,"rsi=buy, bb=buy, macd=sell, ma=buy"
1775284128,2026-04-04T13:28:48,BTC_THB,sell,1290222.99,9595.18,0.00743684,23.9880,-384.51,stop-loss
1775446128,2026-04-06T10:28:48,BTC_THB,buy,1210001.40,9917.26,0.00817558,24.7932,0.00,"rsi=buy, bb=buy, macd=sell, ma=buy"
1775881728,2026-04-11T11:28:48,BTC_THB,sell,1157414.80,9462.54,0.00817558,23.6564,-478.38,stop-loss
1776554928,2026-04-19T06:28:48,BTC_THB,buy,781621.74,9869.42,0.01259528,24.6736,0.00,"rsi=buy, bb=buy, macd=sell, ma=buy"
1776558528,2026-04-19T07:28:48,BTC_THB,sell,723681.09,9114.97,0.01259528,22.7874,-777.24,stop-loss
1776558528,2026-04-19T07:28:48,BTC_THB,buy,723681.09,9791.69,0.01349657,24.4792,0.00,"rsi=buy, bb=buy, macd=sell, ma=buy"
1776580128,2026-04-19T13:28:48,BTC_THB,sell,765100.03,10326.22,0.01349657,25.8156,508.72,end-of-test
