time,iso,symbol,action,price,amount_thb,amount_crypto,fee,pnl,reason
1775269732,2026-04-04T09:28:52,BTC_THB,buy,1089430.78,10000.00,0.00915616,25.0000,0.00,"rsi=buy, bb=buy, macd=sell, ma=buy"
1775294932,2026-04-04T16:28:52,BTC_THB,sell,1054387.43,9654.14,0.00915616,24.1353,-370.00,stop-loss
1775446132,2026-04-06T10:28:52,BTC_THB,buy,1056926.53,9963.00,0.00940282,24.9075,0.00,"rsi=buy, bb=buy, macd=sell, ma=buy"
1775993332,2026-04-12T18:28:52,BTC_THB,sell,1021707.47,9606.93,0.00940282,24.0173,-380.08,stop-loss
1776554932,2026-04-19T06:28:52,BTC_THB,buy,969510.59,9924.99,0.01021152,24.8125,0.00,"rsi=buy, bb=buy, macd=sell, ma=buy"
1776580132,2026-04-19T13:28:52,BTC_THB,sell,965378.19,9857.98,0.01021152,24.6449,-91.66,end-of-test
